HOCO	gene_symbol
PLAG1	Plag1
PLAG1	Plag1
PO2F1	Pou2f1
PO2F2	Pou2f2
PO3F1	Pou3f1
PO3F2	Pou3f2
PO4F2	Pou4f2
PO5F1	Pou5f1
PO6F1	Pou6f1
PPARA	Ppara
PPARA	Ppara
PPARD	Ppard
PPARG	Pparg
PPARG	Pparg
PRD14	Prdm14
PRDM1	Prdm1
PRGR	Pgr
PRGR	Pgr
PROP1	Prop1
PRRX1	Prrx1
PRRX2	Prrx2
PTF1A	Ptf1a
PURA	Pura
RARA	Rara
RARA	Rara
RARB	Rarb
RARG	Rarg
RARG	Rarg
RELB	Relb
REL	Rel
REST	Rest
RFX1	Rfx1
RFX2	Rfx2
RFX3	Rfx3
RORA	Rora
RORG	Rorc
RREB1	Rreb1
RUNX1	Runx1
RUNX2	Runx2
RUNX3	Runx3
RXRA	Rxra
RXRB	Rxrb
RXRG	Rxrg
SMAD1	Smad1
SMAD2	Smad2
SMAD3	Smad3
SMAD4	Smad4
SMRC1	Smarcc1
SNAI1	Snai1
SNAI2	Snai2
SOX10	Sox10
SOX13	Sox13
SOX15	Sox15
SOX17	Sox17
SOX18	Sox18
SOX2	Sox2
SOX3	Sox3
SOX4	Sox4
SOX5	Sox5
SOX9	Sox9
SP1	Sp1
SP1	Sp1
SP2	Sp2
SP3	Sp3
SP4	Sp4
SPI1	Spi1
SPIB	Spib
SPZ1	Spz1
SRBP1	Srebf1
SRBP2	Srebf2
SRF	Srf
SRY	Sry
STA5A	Stat5a
STA5B	Stat5b
STAT1	Stat1
STAT2	Stat2
STAT3	Stat3
STAT4	Stat4
STAT6	Stat6
STF1	Nr5a1
SUH	Rbpj
TAL1	Tal1
TAL1	Tal1
TBP	Tbp
TBX20	Tbx20
TBX2	Tbx2
TBX3	Tbx3
TBX5	Tbx5
TCF7	Tcf7
TEAD1	Tead1
TEAD3	Tead3
TEAD4	Tead4
TEF	Tef
TF2L1	Tfcp2l1
TF65	Rela
TF65	Rela
TF7L2	Tcf7l2
TFCP2	Tfcp2
TFDP1	Tfdp1
TFE2	Tcf3
TFE2	Tcf3
TFE3	Tfe3
TFEB	Tfeb
TGIF1	Tgif1
TGIF1	Tgif1
THA	Thra
THA	Thra
THB	Thrb
THB	Thrb
TLX1	Tlx1
TLX1	Tlx1
TWST1	Twist1
TYY1	Yy1
UBIP1	Ubp1
USF1	Usf1
USF2	Usf2
VDR	Vdr
VDR	Vdr
VSX2	Vsx2
WT1	Wt1
XBP1	Xbp1
YBOX1	Ybx1
ZBT18	Zbtb18
ZBT7A	Zbtb7a
ZBTB6	Zbtb6
ZEB1	Zeb1
ZEP1	Hivep1
ZEP2	Hivep2
ZFHX3	Zfhx3
ZFX	Zfx
ZIC1	Zic1
ZIC2	Zic2
ZIC3	Zic3
ZN143	Zfp143
ZN148	Zfp148
ZN423	Zfp423
